is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ticker,name,has_houyi,has_whale,composite_score
True,0,-0.17666665712992347,-0.3516666889190673,True,False,觀察 (跌勢收斂),6.510000228881836,2026-04-01 00:00:00,002408.SZ,齐翔腾达,False,False,1
True,0,-0.49333333969116205,-0.46833340326944983,True,False,賣出 (動能轉弱),12.289999961853027,2026-04-01 00:00:00,002579.SZ,中京电子,False,False,0
False,0,0.0516667366027832,-0.369999885559082,False,True,強烈買入 (爆發),17.239999771118164,2026-04-01 00:00:00,002923.SZ,润都股份,False,False,3
True,0,-6.035003662109375,-13.756668090820312,True,False,觀察 (跌勢收斂),333.3299865722656,2026-04-01 00:00:00,300394.SZ,天孚通信,False,False,1
True,0,1.8233350118001301,2.63166872660319,True,False,觀望 (動能減弱),71.5199966430664,2026-04-01 00:00:00,300964.SZ,本川智能,False,True,2
False,0,7.973331451416016,3.096665700276693,False,True,強烈買入 (爆發),103.19999694824219,2026-04-01 00:00:00,301312.SZ,智立方,False,False,3
False,0,-0.5800002415974936,-1.2200002670288086,False,True,強烈賣出 (跌破),30.510000228881836,2026-04-01 00:00:00,600105.SS,永鼎股份,False,False,0
True,0,0.04166666666666667,-0.15166664123535156,True,False,買入 (動能增強),12.930000305175781,2026-04-01 00:00:00,601083.SS,锦江航运,False,False,2
True,0,0.9666671752929688,0.9216670989990234,True,False,買入 (動能增強),18.0,2026-04-01 00:00:00,601872.SS,招商轮船,False,False,2
True,0,-2.886666615804036,-2.200000762939453,True,False,賣出 (動能轉弱),88.13999938964844,2026-04-01 00:00:00,603296.SS,华勤技术,False,False,0
True,0,-0.48166672388712556,-0.5150000254313151,True,False,觀察 (跌勢收斂),10.0,2026-04-01 00:00:00,603912.SS,佳力图,False,False,1
False,0,14.068323771158852,7.053324381510416,False,True,強烈買入 (爆發),366.0,2026-04-01 00:00:00,688167.SS,炬光科技,False,False,3
True,0,0.06833330790201819,-0.5116669336954752,True,False,買入 (動能增強),21.0,2026-04-01 00:00:00,688221.SS,前沿生物-U,True,False,3
False,0,14.381663004557291,7.683329264322916,False,True,強烈買入 (爆發),312.8999938964844,2026-04-01 00:00:00,688506.SS,百利天恒,False,False,3
True,0,-8.084995269775389,-10.703329722086586,True,False,觀察 (跌勢收斂),149.19000244140625,2026-04-01 00:00:00,688668.SS,鼎通科技,False,False,1
True,0,-5.303333918253581,-4.756667455037435,True,False,賣出 (動能轉弱),61.29999923706055,2026-04-01 00:00:00,688726.SS,拉普拉斯,False,False,0
