is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ticker,name,has_houyi,has_whale,composite_score
True,1,2.265000025431315,1.9166666666666663,True,False,買入 (動能增強),70.05999755859375,2026-05-06 00:00:00,300895.SZ,铜牛信息,False,False,2
True,0,-0.3766667048136393,-0.4533336957295735,True,False,觀察 (跌勢收斂),18.530000686645508,2026-05-06 00:00:00,300166.SZ,东方国信,False,False,1
False,0,0.40333318710327143,0.1399998664855957,False,True,強烈買入 (爆發),11.140000343322754,2026-05-06 00:00:00,300393.SZ,中来股份,False,False,3
False,0,-0.15499989191691083,-0.46333328882853186,False,True,強烈賣出 (跌破),18.270000457763672,2026-05-06 00:00:00,300872.SZ,天阳科技,False,False,0
False,0,0.7933333714803059,0.34166653951009107,False,True,強烈買入 (爆發),30.270000457763672,2026-05-06 00:00:00,301363.SZ,美好医疗,False,False,3
False,0,0.8250001271565754,0.4800000190734863,False,True,強烈買入 (爆發),16.360000610351562,2026-05-06 00:00:00,603162.SS,海通发展,False,False,3
True,0,-2.7100016276041665,-2.406667073567708,True,False,賣出 (動能轉弱),146.8000030517578,2026-05-06 00:00:00,688031.SS,星环科技-U,False,False,0
True,0,-0.16666666666666669,0.27999941507975246,True,False,賣出 (動能轉弱),61.4900016784668,2026-05-06 00:00:00,688248.SS,南网科技,False,False,0
False,0,0.9099995295206705,0.004999478658040374,False,True,強烈買入 (爆發),34.52000045776367,2026-05-06 00:00:00,688319.SS,欧林生物,False,False,3
